# Date, Value
1960-01,nan
1960-02,nan
1960-03,nan
1960-04,nan
1960-05,nan
1960-06,nan
1960-07,nan
1960-08,nan
1960-09,nan
1960-10,nan
1960-11,0.301
1960-12,nan
1961-01,nan
1961-02,nan
1961-03,nan
1961-04,nan
1961-05,nan
1961-06,nan
1961-07,nan
1961-08,nan
1961-09,nan
1961-10,nan
1961-11,nan
1961-12,nan
1962-01,nan
1962-02,nan
1962-03,nan
1962-04,nan
1962-05,nan
1962-06,nan
1962-07,nan
1962-08,nan
1962-09,nan
1962-10,nan
1962-11,nan
1962-12,nan
1963-01,nan
1963-02,nan
1963-03,nan
1963-04,nan
1963-05,0.289
1963-06,nan
1963-07,nan
1963-08,nan
1963-09,nan
1963-10,nan
1963-11,nan
1963-12,nan
1964-01,nan
1964-02,nan
1964-03,nan
1964-04,nan
1964-05,nan
1964-06,nan
1964-07,nan
1964-08,nan
1964-09,nan
1964-10,nan
1964-11,nan
1964-12,nan
1965-01,nan
1965-02,nan
1965-03,nan
1965-04,nan
1965-05,nan
1965-06,nan
1965-07,nan
1965-08,nan
1965-09,nan
1965-10,nan
1965-11,nan
1965-12,nan
1966-01,nan
1966-02,nan
1966-03,nan
1966-04,nan
1966-05,nan
1966-06,nan
1966-07,nan
1966-08,nan
1966-09,nan
1966-10,nan
1966-11,nan
1966-12,nan
1967-01,nan
1967-02,nan
1967-03,nan
1967-04,nan
1967-05,nan
1967-06,nan
1967-07,nan
1967-08,nan
1967-09,nan
1967-10,nan
1967-11,nan
1967-12,nan
1968-01,nan
1968-02,nan
1968-03,nan
1968-04,nan
1968-05,nan
1968-06,nan
1968-07,nan
1968-08,nan
1968-09,nan
1968-10,nan
1968-11,nan
1968-12,nan
1969-01,nan
1969-02,nan
1969-03,nan
1969-04,nan
1969-05,nan
1969-06,nan
1969-07,nan
1969-08,nan
1969-09,nan
1969-10,nan
1969-11,nan
1969-12,nan
1970-01,nan
1970-02,nan
1970-03,nan
1970-04,nan
1970-05,nan
1970-06,nan
1970-07,nan
1970-08,nan
1970-09,nan
1970-10,nan
1970-11,nan
1970-12,nan
1971-01,nan
1971-02,nan
1971-03,nan
1971-04,nan
1971-05,nan
1971-06,nan
1971-07,nan
1971-08,nan
1971-09,nan
1971-10,nan
1971-11,nan
1971-12,nan
1972-01,0.389
1972-02,nan
1972-03,nan
1972-04,nan
1972-05,nan
1972-06,nan
1972-07,nan
1972-08,nan
1972-09,nan
1972-10,nan
1972-11,nan
1972-12,nan
1973-01,nan
1973-02,nan
1973-03,nan
1973-04,nan
1973-05,0.411
1973-06,nan
1973-07,nan
1973-08,nan
1973-09,nan
1973-10,nan
1973-11,nan
1973-12,nan
1974-01,nan
1974-02,nan
1974-03,nan
1974-04,nan
1974-05,nan
1974-06,nan
1974-07,nan
1974-08,nan
1974-09,nan
1974-10,nan
1974-11,nan
1974-12,nan
1975-01,nan
1975-02,nan
1975-03,nan
1975-04,nan
1975-05,nan
1975-06,nan
1975-07,nan
1975-08,nan
1975-09,nan
1975-10,nan
1975-11,nan
1975-12,nan
1976-01,nan
1976-02,nan
1976-03,nan
1976-04,nan
1976-05,nan
1976-06,nan
1976-07,nan
1976-08,nan
1976-09,nan
1976-10,nan
1976-11,nan
1976-12,nan
1977-01,nan
1977-02,nan
1977-03,0.413
1977-04,nan
1977-05,nan
1977-06,nan
1977-07,nan
1977-08,0.415
1977-09,0.382
1977-10,nan
1977-11,nan
1977-12,nan
1978-01,nan
1978-02,nan
1978-03,nan
1978-04,nan
1978-05,nan
1978-06,nan
1978-07,nan
1978-08,nan
1978-09,nan
1978-10,nan
1978-11,nan
1978-12,nan
1979-01,0.373
