Variable,Assertion Type,Code Cell,Line Number
df,DATASET__read_csv,3,3
nbtest_tmpvar_0,DATASET__head,4,1
nbtest_tmpvar_1,DATASET__info,5,1
nbtest_tmpvar_2,DATASET__any,6,1
df.shape,DATASET__ATTRIBUTE_ACCESS,7,1
nbtest_tmpvar_3,DATASET__describe,8,1
i,PRINT__print,9,2
df[f'{i}'].value_counts(),UNKNOWN__print_call,9,3
nbtest_tmpvar_4,PLOT__show,10,6
nbtest_tmpvar_5,PLOT__heatmap,11,3
nbtest_tmpvar_6,PLOT__show,11,5
df.corr().abs()['DEATH_EVENT'].nlargest(15),UNKNOWN__print_call,12,1
col_reduced,UNKNOWN__SINGLE_VAR,13,2
x_train,DATASET__train_test_split,18,2
x_test,DATASET__train_test_split,18,2
y_train,DATASET__train_test_split,18,2
y_test,DATASET__train_test_split,18,2
cm,MODEL_PERF__confusion_matrix,22,5
nbtest_tmpvar_7,PLOT__show,22,8
"accuracy_score(y_test, y_pred)",MODEL_PERF__accuracy_score,22,10
roc_auc,MODEL_PERF__auc,23,4
nbtest_tmpvar_8,PLOT__show,23,14
"sklearn.metrics.roc_auc_score(y_test, y_pred)",MODEL_PERF__roc_auc_score,23,15
cm,MODEL_PERF__confusion_matrix,25,5
nbtest_tmpvar_9,PLOT__show,25,8
"accuracy_score(y_test, y_pred)",MODEL_PERF__accuracy_score,25,10
roc_auc,MODEL_PERF__auc,26,4
nbtest_tmpvar_10,PLOT__show,26,14
"sklearn.metrics.roc_auc_score(y_test, y_pred)",MODEL_PERF__roc_auc_score,26,15
cm,MODEL_PERF__confusion_matrix,28,5
nbtest_tmpvar_11,PLOT__show,28,8
"accuracy_score(y_test, y_pred)",MODEL_PERF__accuracy_score,28,10
roc_auc,MODEL_PERF__auc,29,4
nbtest_tmpvar_12,PLOT__show,29,14
"sklearn.metrics.roc_auc_score(y_test, y_pred)",MODEL_PERF__roc_auc_score,29,15
cm,MODEL_PERF__confusion_matrix,31,5
nbtest_tmpvar_13,PLOT__show,31,8
"accuracy_score(y_test, y_pred)",MODEL_PERF__accuracy_score,31,10
roc_auc,MODEL_PERF__auc,32,4
nbtest_tmpvar_14,PLOT__show,32,14
"sklearn.metrics.roc_auc_score(y_test, y_pred)",MODEL_PERF__roc_auc_score,32,15
cm,MODEL_PERF__confusion_matrix,34,5
nbtest_tmpvar_15,PLOT__show,34,8
"accuracy_score(y_test, y_pred)",MODEL_PERF__accuracy_score,34,10
roc_auc,MODEL_PERF__auc,35,4
nbtest_tmpvar_16,PLOT__show,35,14
"sklearn.metrics.roc_auc_score(y_test, y_pred)",MODEL_PERF__roc_auc_score,35,15
cm,MODEL_PERF__confusion_matrix,37,5
nbtest_tmpvar_17,PLOT__show,37,8
"accuracy_score(y_test, y_pred)",MODEL_PERF__accuracy_score,37,10
roc_auc,MODEL_PERF__auc,38,4
nbtest_tmpvar_18,PLOT__show,38,14
"sklearn.metrics.roc_auc_score(y_test, y_pred)",MODEL_PERF__roc_auc_score,38,15
