"SampleID"	"Haplogroup"	"Rank"	"Quality"	"Range"
"HG00475"	"D5a2a1b"	"1"	"0.9877"	"1-16569"
"HG00500"	"N9a1"	"1"	"0.9122"	"1-16569"
"HG00851"	"D4b2b"	"1"	"0.9602"	"1-16569"
"HG00881"	"D4b2b"	"1"	"0.9602"	"1-16569"
"HG01795"	"M61*"	"1"	"0.9754"	"1-16569"
"HG02179"	"F1f"	"1"	"0.9496"	"1-16569"
"HG02429"	"L2a1f"	"1"	"0.9527"	"1-16569"
"HG02479"	"L2a1f"	"1"	"0.9527"	"1-16569"
"HG03733"	"M52a"	"1"	"0.8357"	"1-16569"
"HG03750"	"R31b"	"1"	"0.9575"	"1-16569"
"HG03754"	"U2b"	"1"	"0.8437"	"1-16569"
"HG03873"	"HV14a"	"1"	"0.9204"	"1-16569"
"HG03899"	"M52a"	"1"	"0.8357"	"1-16569"
"HG03998"	"HV14a"	"1"	"0.9204"	"1-16569"
"NA19331"	"L3b1a1a"	"1"	"0.9629"	"1-16569"
"NA19334"	"L3b1a1a"	"1"	"0.9794"	"1-16569"
"NA19904"	"L0a2a2a"	"1"	"0.9549"	"1-16569"
"NA19913"	"L3b1a+@16124*"	"1"	"0.9823"	"1-16569"
"NA20317"	"L3d4"	"1"	"0.9850"	"1-16569"
"NA20318"	"L3d4"	"1"	"0.9850"	"1-16569"
"NA20320"	"L1b1a4"	"1"	"0.9721"	"1-16569"
"NA20321"	"L1b1a4"	"1"	"0.9740"	"1-16569"
"NA20334"	"L0a1a2"	"1"	"0.9660"	"1-16569"
"NA20355"	"L0a1a2"	"1"	"0.9784"	"1-16569"
"NA20359"	"L1c3a*2"	"1"	"0.9960"	"1-16569"
"NA20362"	"L1c3a*2"	"1"	"0.9960"	"1-16569"
"NA20882"	"M2c"	"1"	"0.8718"	"1-16569"
"NA20891"	"M66"	"1"	"0.9396"	"1-16569"
"NA20900"	"M2c"	"1"	"0.8718"	"1-16569"
"NA21109"	"M38a"	"1"	"0.9183"	"1-16569"
"NA21135"	"M30b"	"1"	"0.9610"	"1-16569"
